Disease	lung cancer	Rank_lung cancer
HG00096	1.8513	0.1438
HG00097	3.1836	0.5843
HG00099	2.9979	0.5244
HG00100	2.306	0.2827
HG00101	2.5226	0.355
HG00102	1.7005	0.1006
HG00103	3.4556	0.6454
HG00105	2.2881	0.2768
HG00106	2.0113	0.1865
HG00107	2.6666	0.4105
HG00108	2.1546	0.2308
HG00109	1.4798	0.0547
HG00110	2.9835	0.5208
HG00111	3.1293	0.5675
HG00112	4.4442	0.8199
HG00113	4.1745	0.7819
HG00114	1.2462	0.0204
HG00115	3.5297	0.6621
HG00116	4.1417	0.7744
HG00117	2.55	0.3682
HG00118	5.8644	0.9433
HG00119	4.7631	0.8574
HG00120	2.0005	0.1801
HG00121	2.1839	0.2436
HG00122	3.8072	0.7181
HG00123	2.5033	0.3474
HG00125	2.1767	0.2376
HG00126	3.0691	0.5471
HG00127	2.5482	0.367
HG00128	2.8956	0.494
HG00129	6.1356	0.9581
HG00130	3.2037	0.5915
HG00131	1.8696	0.1506
HG00132	1.7061	0.105
HG00133	2.5048	0.3486
HG00136	2.178	0.2408
HG00137	1.7139	0.1082
HG00138	2.3229	0.2883
HG00139	1.8632	0.1474
HG00140	3.8551	0.7288
HG00141	4.8691	0.8678
HG00142	2.3606	0.3003
HG00143	2.8861	0.4904
HG00145	3.6339	0.6841
HG00146	3.8756	0.7328
HG00148	1.6482	0.0903
HG00149	1.7139	0.1082
HG00150	2.6894	0.4197
HG00151	2.8878	0.4912
HG00154	6.8175	0.9748
HG00155	2.0224	0.1929
HG00157	2.1754	0.2372
HG00158	2.6703	0.4125
HG00159	2.816	0.47
HG00160	2.7448	0.4405
HG00171	3.4556	0.6454
HG00173	2.6211	0.395
HG00174	4.0572	0.7612
HG00176	3.5212	0.6605
HG00177	2.6599	0.4077
HG00178	1.5577	0.0675
HG00179	3.4185	0.6382
HG00180	2.1596	0.2328
HG00181	5.2441	0.905
HG00182	3.1093	0.5615
HG00183	1.4569	0.0507
HG00185	1.4649	0.0523
HG00186	2.4648	0.3371
HG00187	4.1392	0.774
HG00188	1.7139	0.1082
HG00189	4.5285	0.8311
HG00190	1.4134	0.0435
HG00231	1.8357	0.1354
HG00232	3.0645	0.5459
HG00233	2.2881	0.2768
HG00234	3.0051	0.5256
HG00235	4.5109	0.8279
HG00236	1.7286	0.115
HG00237	1.6216	0.0863
HG00238	5.0627	0.8894
HG00239	2.9306	0.5032
HG00240	1.9123	0.1613
HG00242	3.5128	0.6589
HG00243	2.2657	0.2712
HG00244	0.7225	8e-04
HG00245	2.7649	0.4481
HG00246	3.0244	0.5335
HG00250	1.6889	0.0974
HG00251	3.7565	0.7053
HG00252	3.0523	0.5419
HG00253	1.6062	0.0815
HG00254	2.4851	0.3427
HG00255	2.9373	0.506
HG00256	2.0019	0.1813
HG00257	1.9603	0.1677
HG00258	1.7139	0.1082
HG00259	5.4866	0.9201
HG00260	1.4754	0.0531
HG00261	0.9484	0.0036
HG00262	2.7429	0.4397
HG00263	3.7565	0.7053
HG00264	2.5664	0.3742
HG00265	3.1059	0.5611
HG00266	2.7857	0.4569
HG00267	3.254	0.6102
HG00268	2.779	0.4541
HG00269	3.2265	0.6018
HG00271	2.1988	0.2488
HG00272	3.009	0.528
HG00273	2.572	0.377
HG00274	2.9058	0.4968
HG00275	2.5741	0.3774
HG00276	2.7442	0.4401
HG00277	2.1344	0.2216
HG00278	5.8779	0.9453
HG00280	2.0099	0.1857
HG00281	1.4796	0.0543
HG00282	2.8497	0.4796
HG00284	2.1767	0.2376
HG00285	3.5758	0.6709
HG00288	2.5282	0.359
HG00290	1.9895	0.1761
HG00304	3.467	0.6494
HG00306	2.1613	0.2348
HG00308	2.0222	0.1925
HG00309	2.2043	0.2508
HG00310	3.2265	0.6018
HG00311	2.0703	0.2077
HG00313	3.0072	0.526
HG00315	1.9077	0.1605
HG00318	2.3608	0.3007
HG00319	3.7863	0.7145
HG00320	2.6583	0.4069
HG00321	3.3204	0.6266
HG00323	3.2871	0.6198
HG00324	2.6599	0.4077
HG00325	1.3535	0.0375
HG00326	4.1516	0.7784
HG00327	3.6792	0.6929
HG00328	3.9342	0.7408
HG00329	2.8582	0.4836
HG00330	3.9678	0.7464
HG00331	1.6341	0.0887
